Palabra Clave,Usuario,Contenido,Fecha y Hora,Enlaces,Respuestas/Menciones,text_clean,hashtags
Paulo Londra Big Ligas,@vinoconsativa,A Paulo londra lo apagó big ligas,2025-04-13T01:49:03.000Z,"['https://x.com/i/communities/1891373388368932913', 'https://x.com/vinoconsativa', 'https://x.com/vinoconsativa', 'https://x.com/vinoconsativa', 'https://x.com/vinoconsativa/status/1911235151268315547', 'https://x.com/vinoconsativa/status/1911235151268315547/analytics']",[],a paulo londra lo apagó big ligas,[]
Paulo Londra Big Ligas,@kraken_701,Que paso con paulo londra y stream con paulo londra se salio la churria o que big ligas,2025-04-12T20:27:26.000Z,"['https://x.com/kraken_701', 'https://x.com/kraken_701', 'https://x.com/kraken_701', 'https://x.com/kraken_701/status/1911154214782325062', 'https://x.com/bigligas', 'https://x.com/kraken_701/status/1911154214782325062/analytics']",[],que paso con paulo londra y stream con paulo londra se salio la churria o que big ligas,[]
Paulo Londra Big Ligas,@monopatin11,Extraño a paulo londra cuando hacia musica buena ahora hace pura mierda encierrenlo de nuevo con big ligas,2025-04-06T19:50:00.000Z,"['https://x.com/monopatin11', 'https://x.com/monopatin11', 'https://x.com/monopatin11', 'https://x.com/monopatin11/status/1908970464556556499', 'https://x.com/monopatin11/status/1908970464556556499/analytics']",[],extraño a paulo londra cuando hacia musica buena ahora hace pura mierda encierrenlo de nuevo con big ligas,[]
Paulo Londra Big Ligas,@NaskingPY,"Paulo londra sonaba mejor con Big ligas ? 
Ya disponible en YT

https://youtu.be/t1kwgyxzwlc?si=XvSc5RqQfB6ZQtmO…",2025-03-30T19:49:12.000Z,"['https://x.com/NaskingPY', 'https://x.com/NaskingPY', 'https://x.com/NaskingPY', 'https://x.com/NaskingPY/status/1906433547453301038', 'https://t.co/Jn5rBWfbBP', 'https://x.com/NaskingPY/status/1906433547453301038/photo/1', 'https://x.com/NaskingPY/status/1906433547453301038/analytics']",[],"paulo londra sonaba mejor con big ligas  
ya disponible en yt",[]
Paulo Londra Big Ligas,@vinoconsativa,A Paulo londra lo apagó big ligas,2025-04-13T01:49:03.000Z,"['https://x.com/i/communities/1891373388368932913', 'https://x.com/vinoconsativa', 'https://x.com/vinoconsativa', 'https://x.com/vinoconsativa', 'https://x.com/vinoconsativa/status/1911235151268315547', 'https://x.com/vinoconsativa/status/1911235151268315547/analytics']",[],a paulo londra lo apagó big ligas,[]
Paulo Londra Big Ligas,@kraken_701,Que paso con paulo londra y stream con paulo londra se salio la churria o que big ligas,2025-04-12T20:27:26.000Z,"['https://x.com/kraken_701', 'https://x.com/kraken_701', 'https://x.com/kraken_701', 'https://x.com/kraken_701/status/1911154214782325062', 'https://x.com/bigligas', 'https://x.com/kraken_701/status/1911154214782325062/analytics']",[],que paso con paulo londra y stream con paulo londra se salio la churria o que big ligas,[]
Paulo Londra Big Ligas,@monopatin11,Extraño a paulo londra cuando hacia musica buena ahora hace pura mierda encierrenlo de nuevo con big ligas,2025-04-06T19:50:00.000Z,"['https://x.com/monopatin11', 'https://x.com/monopatin11', 'https://x.com/monopatin11', 'https://x.com/monopatin11/status/1908970464556556499', 'https://x.com/monopatin11/status/1908970464556556499/analytics']",[],extraño a paulo londra cuando hacia musica buena ahora hace pura mierda encierrenlo de nuevo con big ligas,[]
Paulo Londra Big Ligas,@NaskingPY,"Paulo londra sonaba mejor con Big ligas ? 
Ya disponible en YT

https://youtu.be/t1kwgyxzwlc?si=XvSc5RqQfB6ZQtmO…",2025-03-30T19:49:12.000Z,"['https://x.com/NaskingPY', 'https://x.com/NaskingPY', 'https://x.com/NaskingPY', 'https://x.com/NaskingPY/status/1906433547453301038', 'https://t.co/Jn5rBWfbBP', 'https://x.com/NaskingPY/status/1906433547453301038/photo/1', 'https://x.com/NaskingPY/status/1906433547453301038/analytics']",[],"paulo londra sonaba mejor con big ligas  
ya disponible en yt",[]
Paulo Londra Big Ligas,@grok,"Hola 
@NAMEDEVIRGO
, la disquera que tuvo a Paulo Londra en ese lío tremendo fue Big Ligas, una disquera colombiana. Todo explotó por un contrato chueco donde Paulo prácticamente renunció a sus derechos de publicación y composición, dejándolo sin poder sacar música por más de dos",2025-03-29T16:35:33.000Z,"['https://x.com/grok', 'https://x.com/grok', 'https://x.com/grok', 'https://x.com/grok/status/1906022428070789427', 'https://x.com/NAMEDEVIRGO', 'https://x.com/NAMEDEVIRGO', 'https://x.com/i/grok', 'https://x.com/grok/status/1906022428070789427/analytics']",['@NAMEDEVIRGO'],"hola 

 la disquera que tuvo a paulo londra en ese lío tremendo fue big ligas una disquera colombiana todo explotó por un contrato chueco donde paulo prácticamente renunció a sus derechos de publicación y composición dejándolo sin poder sacar música por más de dos",[]
Paulo Londra Big Ligas,@tbprime28,"Veo q West está tratando de hacer lo mismo q Big Ligas con Paulo Londra.
Va a firmas a Reboll para q no vuelve a sacar música y no salga la W sound 3",2025-03-26T15:19:34.000Z,"['https://x.com/i/communities/1891373388368932913', 'https://x.com/tbprime28', 'https://x.com/tbprime28', 'https://x.com/tbprime28', 'https://x.com/tbprime28/status/1904916140721078606', 'https://x.com/tbprime28/status/1904916140721078606/analytics']",[],"veo q west está tratando de hacer lo mismo q big ligas con paulo londra
va a firmas a reboll para q no vuelve a sacar música y no salga la w sound",[]
Paulo Londra Big Ligas,@santiagogoku434,"Se podra explicar la parte del big ligas pero eso no quita el hecho de hacer que un cantante pegado del momento con tremendo ascenso haya tenido un paron tan duro como lo fueron esos tres años para paulo londra, no quita lo mal hecho que hizo esa disquera para un cantante",2025-03-16T01:05:23.000Z,"['https://x.com/santiagogoku434', 'https://x.com/santiagogoku434', 'https://x.com/santiagogoku434', 'https://x.com/santiagogoku434/status/1901077299778228683', 'https://x.com/bigligas', 'https://x.com/santiagogoku434/status/1901077299778228683/analytics']",[],se podra explicar la parte del big ligas pero eso no quita el hecho de hacer que un cantante pegado del momento con tremendo ascenso haya tenido un paron tan duro como lo fueron esos tres años para paulo londra no quita lo mal hecho que hizo esa disquera para un cantante,[]
Paulo Londra Big Ligas,@juanfe082702,"Igual simplemente va a hablar con Big Ligas y él va a explicar lo que pasó con Paulo Londra, tampoco es que vaya a decir que Paulo Londra es una mierda",2025-03-15T22:42:04.000Z,"['https://x.com/i/communities/1891373388368932913', 'https://x.com/juanfe082702', 'https://x.com/juanfe082702', 'https://x.com/juanfe082702', 'https://x.com/juanfe082702/status/1901041234510246238', 'https://x.com/Juan_4722', 'https://x.com/juanfe082702/status/1901041234510246238/analytics']",[],igual simplemente va a hablar con big ligas y él va a explicar lo que pasó con paulo londra tampoco es que vaya a decir que paulo londra es una mierda,[]
Paulo Londra Big Ligas,@William90485521,Va a hacer un stream con Big ligas hablando lo que paso con Paulo londra,2025-03-15T04:19:48.000Z,"['https://x.com/i/communities/1891373388368932913', 'https://x.com/William90485521', 'https://x.com/William90485521', 'https://x.com/William90485521', 'https://x.com/William90485521/status/1900763838061920413', 'https://x.com/William90485521/status/1900763838061920413/analytics']",[],va a hacer un stream con big ligas hablando lo que paso con paulo londra,[]
Paulo Londra Big Ligas,@Yeran05250852,"básicamente que no tiene miedo de pelear con grefg, vio la reacción de auron y casi se viene en squirt, fronteó con la W sound, habló de no tirar hate porque somos la gaber, hará un directo con big ligas explicando el caso paulo londra y mañana stream de mesero.",2025-03-15T03:12:24.000Z,"['https://x.com/i/communities/1891373388368932913', 'https://x.com/Yeran05250852', 'https://x.com/Yeran05250852', 'https://x.com/Yeran05250852', 'https://x.com/Yeran05250852/status/1900746876078436817', 'https://x.com/CAMILO25PM', 'https://x.com/Yeran05250852/status/1900746876078436817/analytics']",[],básicamente que no tiene miedo de pelear con grefg vio la reacción de auron y casi se viene en squirt fronteó con la w sound habló de no tirar hate porque somos la gaber hará un directo con big ligas explicando el caso paulo londra y mañana stream de mesero,[]
Paulo Londra Big Ligas,@vinoconsativa,A Paulo londra lo apagó big ligas,2025-04-13T01:49:03.000Z,"['https://x.com/i/communities/1891373388368932913', 'https://x.com/vinoconsativa', 'https://x.com/vinoconsativa', 'https://x.com/vinoconsativa', 'https://x.com/vinoconsativa/status/1911235151268315547', 'https://x.com/vinoconsativa/status/1911235151268315547/analytics']",[],a paulo londra lo apagó big ligas,[]
Paulo Londra Big Ligas,@kraken_701,Que paso con paulo londra y stream con paulo londra se salio la churria o que big ligas,2025-04-12T20:27:26.000Z,"['https://x.com/kraken_701', 'https://x.com/kraken_701', 'https://x.com/kraken_701', 'https://x.com/kraken_701/status/1911154214782325062', 'https://x.com/bigligas', 'https://x.com/kraken_701/status/1911154214782325062/analytics']",[],que paso con paulo londra y stream con paulo londra se salio la churria o que big ligas,[]
Paulo Londra Big Ligas,@monopatin11,Extraño a paulo londra cuando hacia musica buena ahora hace pura mierda encierrenlo de nuevo con big ligas,2025-04-06T19:50:00.000Z,"['https://x.com/monopatin11', 'https://x.com/monopatin11', 'https://x.com/monopatin11', 'https://x.com/monopatin11/status/1908970464556556499', 'https://x.com/monopatin11/status/1908970464556556499/analytics']",[],extraño a paulo londra cuando hacia musica buena ahora hace pura mierda encierrenlo de nuevo con big ligas,[]
Paulo Londra Big Ligas,@NaskingPY,"Paulo londra sonaba mejor con Big ligas ? 
Ya disponible en YT

https://youtu.be/t1kwgyxzwlc?si=XvSc5RqQfB6ZQtmO…",2025-03-30T19:49:12.000Z,"['https://x.com/NaskingPY', 'https://x.com/NaskingPY', 'https://x.com/NaskingPY', 'https://x.com/NaskingPY/status/1906433547453301038', 'https://t.co/Jn5rBWfbBP', 'https://x.com/NaskingPY/status/1906433547453301038/photo/1', 'https://x.com/NaskingPY/status/1906433547453301038/analytics']",[],"paulo londra sonaba mejor con big ligas  
ya disponible en yt",[]
Paulo Londra Big Ligas,@grok,"Hola 
@NAMEDEVIRGO
, la disquera que tuvo a Paulo Londra en ese lío tremendo fue Big Ligas, una disquera colombiana. Todo explotó por un contrato chueco donde Paulo prácticamente renunció a sus derechos de publicación y composición, dejándolo sin poder sacar música por más de dos",2025-03-29T16:35:33.000Z,"['https://x.com/grok', 'https://x.com/grok', 'https://x.com/grok', 'https://x.com/grok/status/1906022428070789427', 'https://x.com/NAMEDEVIRGO', 'https://x.com/NAMEDEVIRGO', 'https://x.com/i/grok', 'https://x.com/grok/status/1906022428070789427/analytics']",['@NAMEDEVIRGO'],"hola 

 la disquera que tuvo a paulo londra en ese lío tremendo fue big ligas una disquera colombiana todo explotó por un contrato chueco donde paulo prácticamente renunció a sus derechos de publicación y composición dejándolo sin poder sacar música por más de dos",[]
Paulo Londra Big Ligas,@tbprime28,"Veo q West está tratando de hacer lo mismo q Big Ligas con Paulo Londra.
Va a firmas a Reboll para q no vuelve a sacar música y no salga la W sound 3",2025-03-26T15:19:34.000Z,"['https://x.com/i/communities/1891373388368932913', 'https://x.com/tbprime28', 'https://x.com/tbprime28', 'https://x.com/tbprime28', 'https://x.com/tbprime28/status/1904916140721078606', 'https://x.com/tbprime28/status/1904916140721078606/analytics']",[],"veo q west está tratando de hacer lo mismo q big ligas con paulo londra
va a firmas a reboll para q no vuelve a sacar música y no salga la w sound",[]
Paulo Londra Big Ligas,@santiagogoku434,"Se podra explicar la parte del big ligas pero eso no quita el hecho de hacer que un cantante pegado del momento con tremendo ascenso haya tenido un paron tan duro como lo fueron esos tres años para paulo londra, no quita lo mal hecho que hizo esa disquera para un cantante",2025-03-16T01:05:23.000Z,"['https://x.com/santiagogoku434', 'https://x.com/santiagogoku434', 'https://x.com/santiagogoku434', 'https://x.com/santiagogoku434/status/1901077299778228683', 'https://x.com/bigligas', 'https://x.com/santiagogoku434/status/1901077299778228683/analytics']",[],se podra explicar la parte del big ligas pero eso no quita el hecho de hacer que un cantante pegado del momento con tremendo ascenso haya tenido un paron tan duro como lo fueron esos tres años para paulo londra no quita lo mal hecho que hizo esa disquera para un cantante,[]
Paulo Londra Big Ligas,@juanfe082702,"Igual simplemente va a hablar con Big Ligas y él va a explicar lo que pasó con Paulo Londra, tampoco es que vaya a decir que Paulo Londra es una mierda",2025-03-15T22:42:04.000Z,"['https://x.com/i/communities/1891373388368932913', 'https://x.com/juanfe082702', 'https://x.com/juanfe082702', 'https://x.com/juanfe082702', 'https://x.com/juanfe082702/status/1901041234510246238', 'https://x.com/Juan_4722', 'https://x.com/juanfe082702/status/1901041234510246238/analytics']",[],igual simplemente va a hablar con big ligas y él va a explicar lo que pasó con paulo londra tampoco es que vaya a decir que paulo londra es una mierda,[]
Paulo Londra Big Ligas,@William90485521,Va a hacer un stream con Big ligas hablando lo que paso con Paulo londra,2025-03-15T04:19:48.000Z,"['https://x.com/i/communities/1891373388368932913', 'https://x.com/William90485521', 'https://x.com/William90485521', 'https://x.com/William90485521', 'https://x.com/William90485521/status/1900763838061920413', 'https://x.com/William90485521/status/1900763838061920413/analytics']",[],va a hacer un stream con big ligas hablando lo que paso con paulo londra,[]
Paulo Londra Big Ligas,@Yeran05250852,"básicamente que no tiene miedo de pelear con grefg, vio la reacción de auron y casi se viene en squirt, fronteó con la W sound, habló de no tirar hate porque somos la gaber, hará un directo con big ligas explicando el caso paulo londra y mañana stream de mesero.",2025-03-15T03:12:24.000Z,"['https://x.com/i/communities/1891373388368932913', 'https://x.com/Yeran05250852', 'https://x.com/Yeran05250852', 'https://x.com/Yeran05250852', 'https://x.com/Yeran05250852/status/1900746876078436817', 'https://x.com/CAMILO25PM', 'https://x.com/Yeran05250852/status/1900746876078436817/analytics']",[],básicamente que no tiene miedo de pelear con grefg vio la reacción de auron y casi se viene en squirt fronteó con la w sound habló de no tirar hate porque somos la gaber hará un directo con big ligas explicando el caso paulo londra y mañana stream de mesero,[]
Paulo Londra Big Ligas,@vinoconsativa,A Paulo londra lo apagó big ligas,2025-04-13T01:49:03.000Z,"['https://x.com/i/communities/1891373388368932913', 'https://x.com/vinoconsativa', 'https://x.com/vinoconsativa', 'https://x.com/vinoconsativa', 'https://x.com/vinoconsativa/status/1911235151268315547', 'https://x.com/vinoconsativa/status/1911235151268315547/analytics']",[],a paulo londra lo apagó big ligas,[]
Paulo Londra Big Ligas,@kraken_701,Que paso con paulo londra y stream con paulo londra se salio la churria o que big ligas,2025-04-12T20:27:26.000Z,"['https://x.com/kraken_701', 'https://x.com/kraken_701', 'https://x.com/kraken_701', 'https://x.com/kraken_701/status/1911154214782325062', 'https://x.com/bigligas', 'https://x.com/kraken_701/status/1911154214782325062/analytics']",[],que paso con paulo londra y stream con paulo londra se salio la churria o que big ligas,[]
Paulo Londra Big Ligas,@monopatin11,Extraño a paulo londra cuando hacia musica buena ahora hace pura mierda encierrenlo de nuevo con big ligas,2025-04-06T19:50:00.000Z,"['https://x.com/monopatin11', 'https://x.com/monopatin11', 'https://x.com/monopatin11', 'https://x.com/monopatin11/status/1908970464556556499', 'https://x.com/monopatin11/status/1908970464556556499/analytics']",[],extraño a paulo londra cuando hacia musica buena ahora hace pura mierda encierrenlo de nuevo con big ligas,[]
Paulo Londra Big Ligas,@NaskingPY,"Paulo londra sonaba mejor con Big ligas ? 
Ya disponible en YT

https://youtu.be/t1kwgyxzwlc?si=XvSc5RqQfB6ZQtmO…",2025-03-30T19:49:12.000Z,"['https://x.com/NaskingPY', 'https://x.com/NaskingPY', 'https://x.com/NaskingPY', 'https://x.com/NaskingPY/status/1906433547453301038', 'https://t.co/Jn5rBWfbBP', 'https://x.com/NaskingPY/status/1906433547453301038/photo/1', 'https://x.com/NaskingPY/status/1906433547453301038/analytics']",[],"paulo londra sonaba mejor con big ligas  
ya disponible en yt",[]
Paulo Londra Big Ligas,@grok,"Hola 
@NAMEDEVIRGO
, la disquera que tuvo a Paulo Londra en ese lío tremendo fue Big Ligas, una disquera colombiana. Todo explotó por un contrato chueco donde Paulo prácticamente renunció a sus derechos de publicación y composición, dejándolo sin poder sacar música por más de dos",2025-03-29T16:35:33.000Z,"['https://x.com/grok', 'https://x.com/grok', 'https://x.com/grok', 'https://x.com/grok/status/1906022428070789427', 'https://x.com/NAMEDEVIRGO', 'https://x.com/NAMEDEVIRGO', 'https://x.com/i/grok', 'https://x.com/grok/status/1906022428070789427/analytics']",['@NAMEDEVIRGO'],"hola 

 la disquera que tuvo a paulo londra en ese lío tremendo fue big ligas una disquera colombiana todo explotó por un contrato chueco donde paulo prácticamente renunció a sus derechos de publicación y composición dejándolo sin poder sacar música por más de dos",[]
Paulo Londra Big Ligas,@tbprime28,"Veo q West está tratando de hacer lo mismo q Big Ligas con Paulo Londra.
Va a firmas a Reboll para q no vuelve a sacar música y no salga la W sound 3",2025-03-26T15:19:34.000Z,"['https://x.com/i/communities/1891373388368932913', 'https://x.com/tbprime28', 'https://x.com/tbprime28', 'https://x.com/tbprime28', 'https://x.com/tbprime28/status/1904916140721078606', 'https://x.com/tbprime28/status/1904916140721078606/analytics']",[],"veo q west está tratando de hacer lo mismo q big ligas con paulo londra
va a firmas a reboll para q no vuelve a sacar música y no salga la w sound",[]
Paulo Londra Big Ligas,@santiagogoku434,"Se podra explicar la parte del big ligas pero eso no quita el hecho de hacer que un cantante pegado del momento con tremendo ascenso haya tenido un paron tan duro como lo fueron esos tres años para paulo londra, no quita lo mal hecho que hizo esa disquera para un cantante",2025-03-16T01:05:23.000Z,"['https://x.com/santiagogoku434', 'https://x.com/santiagogoku434', 'https://x.com/santiagogoku434', 'https://x.com/santiagogoku434/status/1901077299778228683', 'https://x.com/bigligas', 'https://x.com/santiagogoku434/status/1901077299778228683/analytics']",[],se podra explicar la parte del big ligas pero eso no quita el hecho de hacer que un cantante pegado del momento con tremendo ascenso haya tenido un paron tan duro como lo fueron esos tres años para paulo londra no quita lo mal hecho que hizo esa disquera para un cantante,[]
Paulo Londra Big Ligas,@juanfe082702,"Igual simplemente va a hablar con Big Ligas y él va a explicar lo que pasó con Paulo Londra, tampoco es que vaya a decir que Paulo Londra es una mierda",2025-03-15T22:42:04.000Z,"['https://x.com/i/communities/1891373388368932913', 'https://x.com/juanfe082702', 'https://x.com/juanfe082702', 'https://x.com/juanfe082702', 'https://x.com/juanfe082702/status/1901041234510246238', 'https://x.com/Juan_4722', 'https://x.com/juanfe082702/status/1901041234510246238/analytics']",[],igual simplemente va a hablar con big ligas y él va a explicar lo que pasó con paulo londra tampoco es que vaya a decir que paulo londra es una mierda,[]
Paulo Londra Big Ligas,@William90485521,Va a hacer un stream con Big ligas hablando lo que paso con Paulo londra,2025-03-15T04:19:48.000Z,"['https://x.com/i/communities/1891373388368932913', 'https://x.com/William90485521', 'https://x.com/William90485521', 'https://x.com/William90485521', 'https://x.com/William90485521/status/1900763838061920413', 'https://x.com/William90485521/status/1900763838061920413/analytics']",[],va a hacer un stream con big ligas hablando lo que paso con paulo londra,[]
Paulo Londra Big Ligas,@Yeran05250852,"básicamente que no tiene miedo de pelear con grefg, vio la reacción de auron y casi se viene en squirt, fronteó con la W sound, habló de no tirar hate porque somos la gaber, hará un directo con big ligas explicando el caso paulo londra y mañana stream de mesero.",2025-03-15T03:12:24.000Z,"['https://x.com/i/communities/1891373388368932913', 'https://x.com/Yeran05250852', 'https://x.com/Yeran05250852', 'https://x.com/Yeran05250852', 'https://x.com/Yeran05250852/status/1900746876078436817', 'https://x.com/CAMILO25PM', 'https://x.com/Yeran05250852/status/1900746876078436817/analytics']",[],básicamente que no tiene miedo de pelear con grefg vio la reacción de auron y casi se viene en squirt fronteó con la w sound habló de no tirar hate porque somos la gaber hará un directo con big ligas explicando el caso paulo londra y mañana stream de mesero,[]
Paulo Londra Big Ligas,@vinoconsativa,A Paulo londra lo apagó big ligas,2025-04-13T01:49:03.000Z,"['https://x.com/i/communities/1891373388368932913', 'https://x.com/vinoconsativa', 'https://x.com/vinoconsativa', 'https://x.com/vinoconsativa', 'https://x.com/vinoconsativa/status/1911235151268315547', 'https://x.com/vinoconsativa/status/1911235151268315547/analytics']",[],a paulo londra lo apagó big ligas,[]
Paulo Londra Big Ligas,@kraken_701,Que paso con paulo londra y stream con paulo londra se salio la churria o que big ligas,2025-04-12T20:27:26.000Z,"['https://x.com/kraken_701', 'https://x.com/kraken_701', 'https://x.com/kraken_701', 'https://x.com/kraken_701/status/1911154214782325062', 'https://x.com/bigligas', 'https://x.com/kraken_701/status/1911154214782325062/analytics']",[],que paso con paulo londra y stream con paulo londra se salio la churria o que big ligas,[]
Paulo Londra Big Ligas,@monopatin11,Extraño a paulo londra cuando hacia musica buena ahora hace pura mierda encierrenlo de nuevo con big ligas,2025-04-06T19:50:00.000Z,"['https://x.com/monopatin11', 'https://x.com/monopatin11', 'https://x.com/monopatin11', 'https://x.com/monopatin11/status/1908970464556556499', 'https://x.com/monopatin11/status/1908970464556556499/analytics']",[],extraño a paulo londra cuando hacia musica buena ahora hace pura mierda encierrenlo de nuevo con big ligas,[]
Paulo Londra Big Ligas,@NaskingPY,"Paulo londra sonaba mejor con Big ligas ? 
Ya disponible en YT

https://youtu.be/t1kwgyxzwlc?si=XvSc5RqQfB6ZQtmO…",2025-03-30T19:49:12.000Z,"['https://x.com/NaskingPY', 'https://x.com/NaskingPY', 'https://x.com/NaskingPY', 'https://x.com/NaskingPY/status/1906433547453301038', 'https://t.co/Jn5rBWfbBP', 'https://x.com/NaskingPY/status/1906433547453301038/photo/1', 'https://x.com/NaskingPY/status/1906433547453301038/analytics']",[],"paulo londra sonaba mejor con big ligas  
ya disponible en yt",[]
Paulo Londra Big Ligas,@grok,"Hola 
@NAMEDEVIRGO
, la disquera que tuvo a Paulo Londra en ese lío tremendo fue Big Ligas, una disquera colombiana. Todo explotó por un contrato chueco donde Paulo prácticamente renunció a sus derechos de publicación y composición, dejándolo sin poder sacar música por más de dos",2025-03-29T16:35:33.000Z,"['https://x.com/grok', 'https://x.com/grok', 'https://x.com/grok', 'https://x.com/grok/status/1906022428070789427', 'https://x.com/NAMEDEVIRGO', 'https://x.com/NAMEDEVIRGO', 'https://x.com/i/grok', 'https://x.com/grok/status/1906022428070789427/analytics']",['@NAMEDEVIRGO'],"hola 

 la disquera que tuvo a paulo londra en ese lío tremendo fue big ligas una disquera colombiana todo explotó por un contrato chueco donde paulo prácticamente renunció a sus derechos de publicación y composición dejándolo sin poder sacar música por más de dos",[]
Paulo Londra Big Ligas,@tbprime28,"Veo q West está tratando de hacer lo mismo q Big Ligas con Paulo Londra.
Va a firmas a Reboll para q no vuelve a sacar música y no salga la W sound 3",2025-03-26T15:19:34.000Z,"['https://x.com/i/communities/1891373388368932913', 'https://x.com/tbprime28', 'https://x.com/tbprime28', 'https://x.com/tbprime28', 'https://x.com/tbprime28/status/1904916140721078606', 'https://x.com/tbprime28/status/1904916140721078606/analytics']",[],"veo q west está tratando de hacer lo mismo q big ligas con paulo londra
va a firmas a reboll para q no vuelve a sacar música y no salga la w sound",[]
Paulo Londra Big Ligas,@santiagogoku434,"Se podra explicar la parte del big ligas pero eso no quita el hecho de hacer que un cantante pegado del momento con tremendo ascenso haya tenido un paron tan duro como lo fueron esos tres años para paulo londra, no quita lo mal hecho que hizo esa disquera para un cantante",2025-03-16T01:05:23.000Z,"['https://x.com/santiagogoku434', 'https://x.com/santiagogoku434', 'https://x.com/santiagogoku434', 'https://x.com/santiagogoku434/status/1901077299778228683', 'https://x.com/bigligas', 'https://x.com/santiagogoku434/status/1901077299778228683/analytics']",[],se podra explicar la parte del big ligas pero eso no quita el hecho de hacer que un cantante pegado del momento con tremendo ascenso haya tenido un paron tan duro como lo fueron esos tres años para paulo londra no quita lo mal hecho que hizo esa disquera para un cantante,[]
Paulo Londra Big Ligas,@juanfe082702,"Igual simplemente va a hablar con Big Ligas y él va a explicar lo que pasó con Paulo Londra, tampoco es que vaya a decir que Paulo Londra es una mierda",2025-03-15T22:42:04.000Z,"['https://x.com/i/communities/1891373388368932913', 'https://x.com/juanfe082702', 'https://x.com/juanfe082702', 'https://x.com/juanfe082702', 'https://x.com/juanfe082702/status/1901041234510246238', 'https://x.com/Juan_4722', 'https://x.com/juanfe082702/status/1901041234510246238/analytics']",[],igual simplemente va a hablar con big ligas y él va a explicar lo que pasó con paulo londra tampoco es que vaya a decir que paulo londra es una mierda,[]
Paulo Londra Big Ligas,@William90485521,Va a hacer un stream con Big ligas hablando lo que paso con Paulo londra,2025-03-15T04:19:48.000Z,"['https://x.com/i/communities/1891373388368932913', 'https://x.com/William90485521', 'https://x.com/William90485521', 'https://x.com/William90485521', 'https://x.com/William90485521/status/1900763838061920413', 'https://x.com/William90485521/status/1900763838061920413/analytics']",[],va a hacer un stream con big ligas hablando lo que paso con paulo londra,[]
Paulo Londra Big Ligas,@Yeran05250852,"básicamente que no tiene miedo de pelear con grefg, vio la reacción de auron y casi se viene en squirt, fronteó con la W sound, habló de no tirar hate porque somos la gaber, hará un directo con big ligas explicando el caso paulo londra y mañana stream de mesero.",2025-03-15T03:12:24.000Z,"['https://x.com/i/communities/1891373388368932913', 'https://x.com/Yeran05250852', 'https://x.com/Yeran05250852', 'https://x.com/Yeran05250852', 'https://x.com/Yeran05250852/status/1900746876078436817', 'https://x.com/CAMILO25PM', 'https://x.com/Yeran05250852/status/1900746876078436817/analytics']",[],básicamente que no tiene miedo de pelear con grefg vio la reacción de auron y casi se viene en squirt fronteó con la w sound habló de no tirar hate porque somos la gaber hará un directo con big ligas explicando el caso paulo londra y mañana stream de mesero,[]
Paulo Londra Big Ligas,@vinoconsativa,A Paulo londra lo apagó big ligas,2025-04-13T01:49:03.000Z,"['https://x.com/i/communities/1891373388368932913', 'https://x.com/vinoconsativa', 'https://x.com/vinoconsativa', 'https://x.com/vinoconsativa', 'https://x.com/vinoconsativa/status/1911235151268315547', 'https://x.com/vinoconsativa/status/1911235151268315547/analytics']",[],a paulo londra lo apagó big ligas,[]
Paulo Londra Big Ligas,@kraken_701,Que paso con paulo londra y stream con paulo londra se salio la churria o que big ligas,2025-04-12T20:27:26.000Z,"['https://x.com/kraken_701', 'https://x.com/kraken_701', 'https://x.com/kraken_701', 'https://x.com/kraken_701/status/1911154214782325062', 'https://x.com/bigligas', 'https://x.com/kraken_701/status/1911154214782325062/analytics']",[],que paso con paulo londra y stream con paulo londra se salio la churria o que big ligas,[]
Paulo Londra Big Ligas,@monopatin11,Extraño a paulo londra cuando hacia musica buena ahora hace pura mierda encierrenlo de nuevo con big ligas,2025-04-06T19:50:00.000Z,"['https://x.com/monopatin11', 'https://x.com/monopatin11', 'https://x.com/monopatin11', 'https://x.com/monopatin11/status/1908970464556556499', 'https://x.com/monopatin11/status/1908970464556556499/analytics']",[],extraño a paulo londra cuando hacia musica buena ahora hace pura mierda encierrenlo de nuevo con big ligas,[]
Paulo Londra Big Ligas,@NaskingPY,"Paulo londra sonaba mejor con Big ligas ? 
Ya disponible en YT

https://youtu.be/t1kwgyxzwlc?si=XvSc5RqQfB6ZQtmO…",2025-03-30T19:49:12.000Z,"['https://x.com/NaskingPY', 'https://x.com/NaskingPY', 'https://x.com/NaskingPY', 'https://x.com/NaskingPY/status/1906433547453301038', 'https://t.co/Jn5rBWfbBP', 'https://x.com/NaskingPY/status/1906433547453301038/photo/1', 'https://x.com/NaskingPY/status/1906433547453301038/analytics']",[],"paulo londra sonaba mejor con big ligas  
ya disponible en yt",[]
